Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TFLUpcomingPlanJouney_HitURL,8481,63,42,9819,111.92,0.000%,4.65833,100.62,3.03,22118.1
TFLUpcomingPlanJouney,25412,214,21,59420,941.20,5.655%,13.95339,197.82,49.29,14517.2
TFLPlanJouney_NavigationtoURL,10659,62,42,5841,63.57,0.000%,5.84698,126.29,3.95,22117.2
TFLUpcomingPlanJouney_HomePage,8479,55,0,30853,335.44,8.480%,4.65738,6.56,3.34,1442.8
TFLPlanJouney_HomePage,10656,54,0,7644,130.45,8.953%,5.85025,8.24,4.17,1442.4
TFLUpcomingPlanJouney_HomePageRetrivingdetails,8478,38,21,286,14.01,0.000%,4.65732,2.72,5.62,598.0
TFLPlanJouney_FetchingDetailsfromHomePage,10652,40,23,247,16.09,0.000%,5.84800,3.42,7.52,598.0
JourneyPlanner,10651,157,81,7813,147.28,8.957%,5.84314,137.85,15.62,24157.6
TFLUpcomingPlanJouney_FromSourcePlace,8477,50,0,1363,27.64,8.482%,4.65735,4.24,2.89,931.6
TFLPlanJouney_Search,10651,35,20,253,11.57,0.000%,5.84744,3.41,8.62,598.0
TFLUpcomingPlanJouney_FromSourcePageRetriving,8474,51,32,1201,28.32,0.000%,4.65574,4.80,4.07,1055.2
TFLPlanJouney_Results,10648,67,0,17612,229.23,8.950%,5.84556,85.13,4.24,14912.1
TFLUpcomingPlanJouney_ToDestination,8473,44,0,1487,37.35,8.486%,4.65505,4.21,2.90,925.3
TFLPlanJouney_ResultRetrivingPage,10642,38,23,275,12.23,0.000%,5.85043,3.42,6.83,598.0
TFLUpcomingPlanJouney_ToDestinationPageRetrive,8471,49,31,1292,21.56,0.000%,4.65403,4.81,4.08,1059.2
TFLUpcomingPlanJouney_EditingTimeandDate,8466,41,22,410,19.37,0.000%,4.65335,2.72,6.87,598.0
TFLUpcomingPlanJouney_SearchButton,8464,33,20,309,10.44,0.000%,4.65225,2.72,5.43,598.0
TFLUpcomingPlanJouney_SearchResultFetching,8462,34,20,874,13.89,0.000%,4.65125,2.72,7.37,598.0
TFLPlanJouney_DisplayingthedetailsofResults,10639,331,0,59903,2605.19,8.976%,5.84909,75.80,4.46,13271.1
SearchSourceandDestinationStations,10634,471,47,60033,2617.98,8.981%,5.83821,167.49,24.11,29377.8
TFLUpcomingPlanJouney_DisplayingResult,8459,181,0,59126,1554.48,8.512%,4.65935,62.04,3.79,13634.8
Transaction Controller,25,268125,86728,379328,76186.70,20.000%,.01370,305.25,39.72,22807840.3
TOTAL,214453,144,0,379328,3154.26,4.239%,117.55545,1310.49,217.60,11415.4
